486,PACHAAISI KEEAAI,78.1,4.7,1.7,3.2,,12.3,83,546,106,21.2
487,PANNA KEERAI,85,3.8,0.6,2.3,2.3,6,45,268,33,24
488,PAAWAA SAG,80.5,5.4,1.1,3,4.2,5.8,55,531,73,
489,PASAAAI KEERAI,86,1.7,0.4,1.8,2.2,7.9,42,148,25,58.2
490,PATUA SAG,81.4,5.1,1.1,2.7,1.6,8.1,63,241,93,
491,POTATO LEAVES,88,4.4,0.9,1.8,1.3,3.6,40,120,50,
492,PULIAAA KEERAI,85,4.3,1.5,2,,7.2,60,116,35,4.1
493,PUNNAKU KEERAI,80.6,6.1,0.7,2.5,,10.1,71,250,38,35.7
494,PEAANDAI,87.4,1.2,0.3,2,1.8,7.3,37,650,50,2.1
495,SARAVALLAI KEERAI,91.3,2,0.4,2.2,0.9,3.2,24,100,30,38.5
496,SARLI SAG,76.9,4,1.1,1.6,1.5,14.9,86,127,51,
497,SEEMAI PONNANGANNI,85.7,3.3,0.8,2.7,,7.5,50,322,29,16.8
498,SINDUAR SAG,88,2,0.7,2,1.5,5.8,38,323,38,
499,"SINDUAR, (wild)",87.4,1.1,0.8,2.6,3.7,4.4,29,104,40,
500,SONCHAL SAG,86.2,4.3,0.6,2.1,1.2,5.6,45,300,60,19.5
501,SOYA LEAVES,79.5,6,0.5,3.2,,10.8,72,180,190,8.0
502,SWEET POTATO GREENS,80.7,4.2,0.8,2.2,2.4,9.7,63,360,60,10
503,THOODUVALAI KEERAI,84.7,3.9,0.7,3.8,2.3,4.6,40,334,52,5
504,VEETHI KEEAAI,72.2,7.5,0.7,4,2.2,13.4,90,366,62,11.5
505,VELAIKEERAI,80,6.5,0.8,3.9,,8.8,68,778,100,31.6
506,VELLA KEERAI,80.4,5.6,1.9,3.8,,8.3,73,881,73,24.4
507,WATER CRESS,89.2,2.9,0.2,2.2,0.6,4.9,33,290,140,4.6
508,BOKWA,79.6,2.9,0.3,0.8,0.9,15.5,76,25,53,
509,BUDHIA,66.5,0.7,0.4,0.9,1.6,29.9,126,200,40,
510,BID ROOT,47.7,2.1,0.3,1.1,0.9,47.9,203,11,133,
511,"CANNA, edible",73,1.1,0.4,1,0.5,24,104,20,25,0.8
512,CHUMBIA,66.7,1.8,0.2,1,1.5,28.8,124,52,49,
513,CHURKIA,83.7,1.6,0.1,0.6,1.2,12.8,59,19,38,
514,EPIDONG SANGA,91.6,2.2,0.2,1.6,2.7,1.7,17,277,59,
515,GARMAR,87.4,0.3,0.2,0.7,,11.4,49,153,13,0.6
516,JIPOOSANGA,94.1,0.6,0.1,0.2,0.4,4.6,22,11,7,
517,LOTUS ROOT,85.9,1.7,0.1,0.2,0.8,11,0.3,53,21,74,0.4
518,MOORSANGA,45.4,2.1,0.3,0.6,1.6,50,211,25,21,
519,MURUM SANGA,82.5,1.4,0.1,0.6,0.7,14.7,65,24,24,
520,OCHEN SANGA,88.6,1.5,0.1,1.1,1.1,7.6,37,64,89,
521,SONG,65,2.3,0.1,1,0.7,30.9,134,39,64,
522,TURUM SANGA,66.4,1.9,0.4,1.7,1.6,28,123,342,19,
523,"WATER lily, red",49.1,4.1,0.3,1.6,1.5,43.4,193,65,217,
524,"WATER lily, white",62.5,3.1,0.3,1.3,1.1,31.7,142,76,220,
525,AGATHI FLOWERS,92.9,1,0.5,0.4,0.8,4.4,26,9,5,
526,ARTICHOKE,77.3,3.6,0.1,1.8,1.2,16,79,120,100,2.3
527,BAGNAHA,67,6.1,3.8,2,9.6,11.5,105,64,81,
528,"BOROOEE, raw",81.1,1.5,0.2,0.8,2.3,14.1,64,30,18,
529,CHALTHA,82.3,0.8,0.2,0.8,2.5,13.4,59,16,26,
530,KANDAN KATHIRI,75.5,3.1,0.8,1.6,14.2,4.8,39,100,90,1.2
531,"LOTUS SEED, green and mature",84.6,3.9,0.7,1.1,0.9,8.8,57,49,151,
532,MADAPU GINJA,36,20.2,18.8,2.6,,22.4,340,270,440,4.5
533,MUSHROOM,88.5,3.1,0.8,1.4,0.4,4.3,43,6,110,1.5
534,PHUTKA CHATTOO,80.9,3.9,0.4,0.9,,14.1,75,16,73,
535,NISORHA FLOWERS,79.6,4.7,0.5,2.6,3.3,9.3,61,1740,116,
536,RHUBARB STALKS,92.7,1.1,0.5,1.1,0.3,4.3,26,120,10,2.2
537,SANGA KA PHAL,73.4,1.5,0.1,0.9,1,23.1,99,16,48,
538,SANNHEMP FLOWERS,78.9,4.8,0.6,1.4,3.9,10.4,66,200,100,
539,"SEA WEEDS, fresh",91,0.8,0.2,4,0.3,3.7,20,134,10,7
540,"SEA WEEDS, dry",9.5,10.8,0.8,22.7,5,51.2,255,1543,114,
541,SILK COTTON FLOWERS,86.4,1.5,0.3,0.7,1.6,9.5,47,22,45,
542,TETROLOBAR BEAN,90.6,1.9,0.4,0.5,1.8,4.8,30,30,20,
543,WATER LILY FLOWERS,90.8,1.6,0.6,0.7,0.9,5.4,33,29,18,
544,ADDA SEED (kernel),9.5,27.3,29.9,3.6,1.1,28.6,493,302,718,6.8
545,JUNGLI BADAM,35.6,11.4,35.5,2.4,,,,33,415,1.7
546,OYSTERNUT,4.4,29.7,63.3,2.6,,0,689,10,570,4.1
547,MANGO SEED KERNEL,55,2.6,192,40,0.9,35.9,,,110,0.7
548,ROSELLE SEEDS,6.5,20.9,21.3,4.9,15.5,30.9,399,300,600,
549,BAJJAR BHANG,6.6,17.2,8.5,3.9,2.2,61.6,392,83,434,20
550,"TAMARIND SEED KERNEL, roasted",9.9,16.1,7.3,1.6,1,64.1,387,121,237,
551,PUMPKIN SEED,8,24.3,47.2,4.7,0.2,15.6,584,50,830,5.5
552,OKRA (whole seed),6.6,21,17.9,4.7,23.4,,,,,
553,OKRA (kernel),3.7,38.9,36.5,6,0.8,,,,,
554,CLEOME VISCOSA defatted seed cake,6.4,20.4,,6.3,7.2,,,,,
555,MARKING NUT (kernel),3.8,26.4,36.4,3.6,1.4,28.4,587,295,836,6.1
556,BAINCHA,67.8,1.7,1.8,1.3,4.7,22.7,114,100,100,
557,BAMBOO FRUIT,56.3,3.9,0.1,1.6,3.9,34.2,153,10,110,1.5
558,BLACKBERRY,87.2,1.3,0.5,0.5,3.8,6.7,37,30,20,4.3
559,BOROOEE,74.1,2,0.3,1.3,4.7,17.6,81,68,64,
560,CARAMBOLA,91.9,0.7,0.1,0.4,0.8,6.1,28,4,11,
561,CHERIMOYER,76.4,1.3,0.3,0.3,1.5,20.2,89,30,20,0.4
562,DURIAN,58,2.8,3.9,1.2,,34.1,183,10,50,1
563,GAB,69.6,1.4,0.1,0.8,1.5,26.6,113,58,27,
564,JURMATA,46,4.8,0.3,2.2,3.4,43.3,195,115,101,
565,KESAUR,80.2,1.6,0.1,0.5,0.6,17,75,11,15,
566,KILA PAZHAM,79.5,0.8,0.6,0.3,7.3,11.5,55,20,10,1.4
567,KUSUM FRUITS,86.2,1.5,0.8,1,0.6,9.9,53,15,42,
568,LANGSAT,86.5,0.8,0.3,0.6,2.3,9.5,44,20,30,0.5
569,"MATASURA, whole fruit",72.3,1.9,1,1.1,13.1,10.6,59,138,28,
570,"MATASURA, skin & Pulp",84.1,2.3,1.6,1.2,1.7,9.1,60,16,22,
571,MULCHARI,54.7,1.8,1,2.3,4.3,35.9,160,212,30,
572,NEEM FRUIT,81.9,1.3,1,0.7,,15.1,75,25,41,
573,NISORHA,82.5,1.8,1,2.2,0.3,12.2,65,40,60,
574,PANIYALA,77.7,0.5,0.1,0.8,1,19.9,83,43,25,
575,PAPA,46.9,3.7,3.1,1.9,9.5,34.9,182,24,91,
576,PERAR,81.7,1,0.2,0.7,3.9,12.5,56,33,13,
577,PIPAL TREE FIGS,62.4,2.5,1.7,2.3,9.9,21.2,110,289,89,
578,PIYAL,74.3,2.2,0.8,1.7,1.5,19.5,94,78,28,
579,RAYAN,68.6,0.5,2.4,0.8,,27.7,134,83,17,0.9
580,SIRK,55.3,3.2,1.3,2,4.9,33.3,158,270,94,
581,STAR APPLE,91.9,0.3,0.2,0.3,1,6.3,28,5,10,
582,THAVITTU PAZHAM,82.5,0.6,0.2,0.4,5.6,10.7,47,40,15,0.9
583,TUMKI,70.6,0.8,0.2,0.8,0.8,26.8,112,60,20,0.5
584,VIKKI PAZHAM,59.3,1.4,0.1,1.1,1.6,36.2,153,37,26,311
585,BOORDOOD,2.1,49.3,44.5,4.1,,,598,48,457,
586,DHAUNS,79.1,19.6,0.4,1,,,82,10,176,
587,FIELD RAT'S MEAT,73.9,23.6,1,1.4,,0.1,104,30,242,
588,MEAT OF NARROW SNOUTED CROCODILE,77.4,20.6,0.4,1.3,,0.3,87,13,162,
589,RED ANTS WITH EGGS,71.6,13.4,4.6,1.3,,9.1,131,104,107,
590,WOOD SAND PIPER,72.1,22.9,2.1,1.4,,1.5,117,8,300,
591,YEAST DRIED (brewer's),13.6,39.5,0.6,7,0.2,39.1,320,440,149,
592,YEAST DRIED (food),7.8,35.7,1.8,8.4,,46.3,344,160,2090,
