59,BATHUA LEAVES,0.59,,,750,20,110,,50,,170,410,440,290
60,BEET GREENS,0.54,180,90,210,60,190,150,50,60,200,300,180,210
63,BOTTLE GOURD LEAVES,0.37,280,140,300,,310,,90,70,220,410,260,40
65,BRUSSELS SPROUTS,0.75,390,140,340,80,230,,60,40,270,340,310,300
66,CABBAGE,0.29,450,130,240,70,200,120,60,70,220,340,230,260
67,CARROT LEAVES,0.82,270,120,280,90,410,,110,,280,440,280,340
69,CELERY LEAVES,0.13,250,90,150,80,280,,140,,210,430,240,300
72,COLOCASIA LEAVES,1.09,250,130,260,40,180,,60,,150,360,310,280
78,DRUMSTICK LEAVES,1.07,380,140,320,100,290,,110,130,250,460,280,350
79,FENUGREEK LEAVES,0.7,350,110,300,80,300,,90,,200,390,330,320
84,GOGO,0.27,310,90,400,40,200,,70,,210,440,320,240
87,KNOL-KHOL GREENS,0.56,,,540,370,160,,50,,130,500,330,310
89,LETTUCE,0.34,300,110,310,50,280,170,70,,270,390,320,320
102,PUMPKIN LEAVES,0.74,430,100,340,80,340,310,110,60,310,630,310,360
108,SAFFLOWER LEAVES,0.4,,,610,30,160,,60,,170,700,540,410
109,SHEPU,0.48,,,450,30,90,,20,,120,290,350,280
110,SPINACH,0.32,350,140,400,100,330,310,110,80,290,530,300,350
113,"TAMARIND LEAVES, tender",0.92,370,140,300,,390,220,80,60,290,580,330,360
114,TURNIP GREENS,0.64,300,120,320,80,260,220,80,70,240,410,240,280
117,BEET ROOT,0.27,320,100,410,60,210,170,70,120,250,330,200,230
118,CARROT,0.14,250,90,230,40,210,140,70,60,210,310,230,310
119,COLOCASIA,0.48,470,110,300,110,320,230,80,160,280,510,270,380
122,ONION,0.19,170,70,290,90,180,,70,,90,170,90,140
125,POTATO,0.26,330,100,320,100,270,170,90,50,220,380,270,310
129,RADISH,0.11,700,160,270,20,270,,50,,230,420,300,390
130,SWEET POTATO,0.19,280,90,260,110,270,150,100,30,280,360,290,380
131,TAPIOCA,0.12,580,110,290,80,180,100,50,90,200,300,250,240
133,TURNIP,0.08,250,70,230,80,180,,50,10,210,340,220,230
135,YAM (ordinary),0.22,480,120,280,70,300,200,100,,220,400,230,290
137,ASH GOURD,0.06,190,040,070,030,160,,060,,190,380,350,310
139,BITTER GOURD,0.26,270,080,210,040,240,,150,,250,420,370,370
141,BOTTLE GOURD,0.03,100,040,350,030,140,,030,,170,350,320,230
142,BRINJAL,0.22,210,130,330,060,250,240,070,030,230,380,270,320
144,CAULIFLOWER,0.42,290,120,360,090,230,,100,,260,440,300,350
149,CUCUMBER,0.06,470,090,270,050,140,,060,,160,260,190,210
155,FRENCH BEANS,0.27,280,150,360,090,260,210,080,060,250,430,280,340
158,"JACK FRUIT, tender",0.42,120,060,300,080,480,,090,090,360,500,450,550
159,JACK FRUIT seed,1.06,,,360,070,260,,050,060,270,330,300,410
166,LADIES FINGERS,0.30,230,110,210,040,140,270,080,060,140,240,150,190
176,PLANTAIN green,0.22,260,280,350,040,280,,040,,170,340,320,280
178,PUMPKIN,0.2,230,100,270,070,210,,050,,170,330,230,300
185,TOMATO green,0.30,190,050,160,020,150,,050,,190,210,420,270
189,ALMOND,3.33,660,140,160,050,300,180,100,050,170,450,250,310
192,CASHEW NUT,3.39,650,130,290,110,270,,090,,200,510,320,360
194,"COCONUT, dry",1.09,850,130,240,070,280,170,100,080,180,430,240,320
201,GINGELLY SEEDS,2.93,750,170,170,080,370,230,180,120,230,500,250,290
202,GROUND NUT,4.05,690,140,230,060,310,240,060,080,170,400,240,280
205,LINSEED,3.25,560,120,230,100,270,180,100,120,210,360,310,320
207,NIGER SEED,3.82,660,140,230,,300,,090,100,210,380,250,320
208,PISTACHIO NUT,3.17,590,140,320,060,320,190,080,110,200,550,300,370
209,PIYAL SEEDS,3.04,1230,170,240,070,330,,100,,200,740,350,410
211,SUNFLOWER SEEDS,3.17,500,150,230,090,280,120,120,090,230,400,270,320
212,WALNUT,2.50,770,120,100,060,260,,080,,170,470,240,280
213,WATER MELON SEEDS,5.46,900,130,170,090,270,,160,,140,400,310,260
240,APPLE ,0.03,170,120,370,060,160,090,050,080,230,390,220,250
241,APRICOT,0.16,080,100,180,,100,080,030,,130,180,110,150
243,AVOCADO PEAR,0.27,210,110,310,060,220,140,090,,180,340,210,290
245,BANANA,0.19,360,370,270,070,260,160,080,170,190,320,250,260
254,DATES,0.40,150,050,190,,170,050,050,120,180,260,150,220
256,FIGS 25a,0.21,140,090,250,050,150,270,050,100,200,270,190,240
258,GRAPES,0.08,460,230,140,030,130,110,210,100,170,130,050,170
261,GUAVA COUNTRY,0.14,,,190,060,,,060,,,,,
278,MANGO RIPE,0.10,,,830,130,,,070,,,,,
287,PAPAYA,0.10,,,400,130,,,030,,,,,
290,PEACHES,0.19,130,130,230,030,140,160,240,070,210,220,100,310
292,PERSIMMON,0.11,360,130,320,110,290,150,060,150,380,400,280,290
305,STRAW BERRY ,.11 ,270,120,250,070 ,180,210,010,050,190,320,140,180
398,BEEF,3.60,410,200,540,070,260,220,160,080,280,510,320,330
402,"EGG, hen",2.13,400,150,440,090,360,250,210,140,320,520,410,450
405,FOWL,4.14,350,160,500,060,250,210,160,080,250,460,330,320
410,MUTTON,2.96,430,170,510,080,250,210,150,080,290,480,310,320
412,PORK,2.99,410,190,570,090,280,230,180,080,310,520,340,360
419,"MILK, buffalo's",0.69,200,130,490,090,270,,170,090,300,640,330,380
420,"MILK, cow's",0.51,220,170,500,090,320,300,160,050,280,600,340,400
421,"MILK, goat's",0.53,210,180,470,080,240,200,110,,350,560,250,340
422,"MILK, human",0.18,250,170,420,110,230,230,100,110,290,520,330,310
423,CURD,0.50,200,160,480,080,330,370,170,060,310,680,320,470
428,CHEESE,3.86,240,200,520,080,350,340,180,040,260,640,360,480 
433,WHOLE MILK POWDER,4.13,220,180,490,090,310,300,170,050,280,630,360,420 
591,"YEAST, dried (brewers)",6.32,310,160,570,,300,260,100,060,350,500,370,460 
