code,name,carot,thia,ribf,nia,vitb6c,folsum,vitc,choln
171,ONION STALKS,595,0,0.03,0.3,,,,17,
172,"PAPAYA, green",0,0.01,0.01,0.1,,,,12,
173,PARWAR,153,0.05,0.06,0.5,,,,29,
174,PINK BEANS,453,0.06,0.02,0.6,,,,12,
175,PLANTAIN flower,27,0.05,0.02,0.4,,,,16,
176,PLANTAIN green,30,0.05,0.02,0.3,,1.6,16.4,24,
177,PLANTAIN stem,0,0.02,0.01,0.2,,,,7,
178,PUMPKIN,50,0.06,0.04,0.5,,3.0,13.0,2,136
180,RIDGE GOURD,33,,0.01,0.2,,,,5,
181,SMAKE GOURD,96,0.04,0.06,0.3,,7.5,15.5,0,
182,"SUNDAKAI, dry",450,,,,,,,0,
183,SWORD BEANS,24,0.08,0.08,0.5,,,,12,
184,"TINDA, tender",13,0.04,0.08,0.3,,,,18,
185,"TOMATO, green",192,0.07,0.01,0.4,,,,31,
186,VEGETABLE MARROW,,0.02,0,0.4,,,,18,
187,"WATER CHESTNUT, fresh",12,0.05,0.07,0.6,,,,9,
189,ALMOND,0,0.24,0.57,4.4,,,,0,
190,ARECANUT,3,,,,,,,,
192,CASHEWNUT,60,0.63,0.19,1.2,,,,0,
193,CHILGOZA,,0.32,0.30,3.6,,,,0,
194,COCONUT dry,0,0.08,0.01,3.0,,15.3,16.5,7,
195,COCONUT fresh,0,0.05,0.10,0.8,,11.7,12.5,1,
197,COCONUT milk,0,0.08,0.04,0.6,,,,3,
198,COCONUT water,0,0.01,0,0.1,,,,2,
199,"COCONUT meal, deoiled",0,0.13,0.57,6.0,,,,5,
200,GARDEN CRESS SEEDS,27,0.59,0.61,14.3,,,,0,
201,GINGELLY SEEDS,60,1.01,0.34,4.4,,51.0,134.0,0,
202,GROUNDNUT,37,0.90,0.13,19.9,,16.0,20.0,0,224
203,GROUNDNUT roasted,0,0.39,0.13,22.1,,,,0,
205,LINSEED,30,0.23,0.07,1.0,,,,0,
206,MUSTARD SEEDS,162,0.65,0.26,4.0,,,,0,211
207,NIGER SEEDS,,0.07,0.97,8.4,,,,0,
208,PISTACHIO NUT,144,0.67,0.28,2.3,,,,,
209,PIYAL SEEDS,0,0.69,0.53,1.5,,,,5,
211,SUNFLOWER SEEDS,0,0.86,0.20,4.5,,,,1,
212,WALNUT,6,0.45,0.40,1.0,,,,0,
215,ASAFOETIDA,4,0,0.04,0.3,,,,0,
216,CARDAMOM,0,0.22,0.17,0.8,,,,0,1550
217,CHILLIES dry,345,0.93,0.43,9.5,,,,50,
218,CHILLIES green,175,0.19,0.39,0.9,,6.0,29.0,111,
219,CLOVES dry,253,0.08,0.13,0,,,,0,
220,CLOVES green,72,,,,,,,,
221,CORIANDER,942,0.22,0.35,1.1,,27.4,32.0,0,1077
222,CUMIN SEEDS,522,0.55,0.36,2.6,,,,3,1065
223,FENUGREEK SEEDS,96,0.34,0.29,1.1,,14.5,84.0,0,1161
224,GARLIC dry,0,0.06,0.23,0.4,,,,13,
225,GINGER fresh,40,0.06,0.03,0.6,,,,6,
227,MACE,3027,0.25,0.42,1.4,,,,0,
229,NUTMEG,0,0.33,0.01,1.4,,,,0,
231,OMUM,71,0.21,0.28,2.1,,,,,
232,PEPPER DRY (black),1080,0.09,0.14,1.4,,,,,
233,PEPPER GREEN,540,0.05,0.04,0.2,,,,1,
236,TAMARIND PULP,60,,0.07,0.7,,,,3,
237,TURMERIC,30,0.03,0,2.3,,10.0,18.0,0,
238,AMBADA,270,0.02,0.02,0.3,,,,21,
239,AMLA,9,0.03,0.01,0.2,,,,600,256
240,APPLE,0,,,0,,,,1,321
241,APRICOT fresh,2160,0.04,0.13,0.6,,,,6,
242,APRICOT dried,58,0.22,,2.3,,,,2,
244,BAEL FRUIT,55,0.13,0.03,1.1,,,,8,
245,"BANANA, ripe",78,0.05,0.08,0.5,,,,7,
247,BILIMBI,18,0.09,0.04,0.6,,,,32,
248,BREAD FRUIT,9,0.04,0.07,,,,,21,
249,BULLOCK'S HEART,67,,0.07,0.6,,,,5,
250,CAPE GOOSEBERRY,1428,0.05,0.02,0.3,,,,49,
251,CASHEW FRUIT,23,0.02,0.05,0.4,,,,180,
252,"CHERRIES, red",0,0.08,0.08,0.3,,,,7,
253,"CURRANTS, black",21,0.03,0.14,0.4,,,,1,
254,DATES dried,26,0.01,0.02,0.9,,,,3,
256,FIGS (Ficus carcia),162,0.06,0.05,0.6,,,,5,
257,GRAPES blue variety,3,0.04,0.03,0.2,,,,1,
258,GRAPES pale green variety,0,,,0,,,,1,
259,GRAPE FRUIT marsh's seedless,,0.12,0.02,0.3,,,,,
260,GRAPE FRUIT triumph,,0.12,0.02,0.3,,,,31,
261,"GUAVA, country",0,0.03,0.03,0.4,,,,212,
262,"GUAVA, hill",0,0.02,0.02,0.3,,,,15,
264,JACK FRUIT,175,0.03,0.13,0.4,,,,7,
265,"JAMB, safed",,0.01,0.02,0.2,,,,30,
266,JAMBU FRUIT,48,0.03,0.01,0.2,,,,18,7
267,KORUKKAPALLI,0,0.22,0.06,1.6,,,,108,
268,LAKUCH,254,0.02,0.15,0.3,,,,135,
269,LEMON,0,0.02,0.01,0.1,,,,39,
270,LEMON SWEET,0,,0.04,0,,,,45,
271,LICHI,0,0.02,0.06,0.4,,,,31,
273,LIME,15,0.02,0.03,0.1,,,,63,
274,"LIME, sweet malta",0,,,0,,,,54,
275,"LIME, sweet musambi",0,,,0,,,,50,
276,LOQUAT,559,,,0,,,,0,
277,MAHUA,307,,,,,,,40,
278,"MANGO, ripe",2743,0.08,0.09,0.9,,,,16,
280,"MELON, musk",169,0.11,0.08,0.3,,,,26,
281,"MELON, water",0,0.02,0.04,0.1,,,,1,
282,MULBERRY,57,0.04,0.13,0.5,,,,12,
283,ORANGE,1104,,,,,,,30,
284,ORANGE juice,15,0.06,0.02,0.4,,,,64,
286,"PALMYRA FRUIT, tender",0,0.01,0.01,0.2,,,,4,
287,"PAPAYA, ripe",666,0.04,0.25,0.2,,,,57,
288,PASSION FRUIT,54,0.07,0.14,1.6,,,,25,
289,PASSION FRUIT juice,1968,0.01,0.02,0,,,,13,
290,PEACHES,0,0.02,0.03,0.5,,,,6,
291,PEARS,28,0.06,0.03,0.2,,,,0,
292,PERSIMMON,2268,0.03,0.01,0,,,,33,
293,PHALSA,419,,,0.3,,,,22,
294,PINE APPLE ,18,0.2,0.12,0.1,,,,39,8
295,PLUM ,166,0.04,0.1,0.3,,,,5,
296,POMEGRANATE,0,0.06,0.1,0.3,,,,16,
298,PUMMELO,120,0.03,0.03,0.2,,,,20,
299,QUINCE,,0.02,0.02,0.2,,,,11,
300,RAISINS,2.4,0.07,0.19,0.7,,,,1,
301,RASPBERRY,1248,,,0.8,,,,30,
302,ROSE APPLE,141,0.01,0.05,0.4,,,,3,
303,SAPOTA,97,0.02,0.03,0.2,,,,6,
304,SEETHAPHAL,0,0.07,0.17,1.3,,,,37,
305,STRAWBERRY,18,0.03,0.02,0.2,,,,52,
306,"TOMATO, ripe",351,0.12,0.06,0.4,,14,30,27,
307,TOMATILO,48,0.05,0.02,2.1,,,,2,
308,TREE TOMATO,324,0.11,0.06,2.1,,,,0,
309,WOOD APPLE,61,0.04,0.17,0.8,,,,3,
310,ZIZYPHUS,21,0.02,0.05,0.7,,,,76,
311,AIR,,,,0.5,,,,11,
313,BACHA,,,,0.6,,,,13,
314,BAM,,,,0.9,,,,3,438
317,BELEY,,,,0.3,,,,3,388
318,"BHANGER, fresh",,,,1.8,,,,12,
320,BHANGAN BATA,,,,0.6,,,,,
321,BEKTI fresh,,,,0.7,,,,10,349
323,BHOLE,,,,0.5,,,,14,
325,BOAL,,,,1,,,,8,108
328,CAT FISH,,,,2.5,,,,,
333,CHITAL,,,,,,,,,943
334,CRAB muscle,780,,,3.1,,,,,
336,FOLUI,,,,0.8,,,,6,1018
341,HILSA,,,,2.8,,,,24,1364
342,HORSE MACKEREL,,,,2.9,,,,,
346,KALABASU,,,,0.6,,,,11,716
347,KATLA,,,,0.8,,,,,611
349,KHOYRA fresh,,,,0.5,,,,,
351,KOI,,,,0.8,,,,32,891
353,LATA,,,,1,,,,0,
356,MAGUR,,,,,,,,,639
357,MAHASOLE,,,,,,,,,
359,MRIGAL,,,,0.7,,9.7,16.7,,480
360,MULLET,,,,2.6,,,,,
365,PABDA,,,,,,,,,1018
366,PANGAS,,,,0.6,,,,7,913
367,"PARSEY, fresh",,,,0.8,,,,6,
370,"POMFRETS, white",,,0.15,2.6,,,,,
371,PRAWN,0,0.01,0.10,4.8,,,,,542
372,PUTI,,,,0.3,,,,15,393
375,RIBBON FISH fresh,,,,2.1,,,,,
377,ROHU,,0.05,0.07,0.7,,,,22,819
378,SARDINE,,,,2.6,,,,,
379,SARPUTI,,,,,,,,14,
380,SHARK,,,,2.5,,,,,
381,"SHRIMP (small, dried)",,,,,,15.7,18.6,,
382,SEER,,,,1.2,,,,,
385,SINGHI,,,,0.8,,,,9,64
386,SOLE,,,,0.5,,,,9,572
393,TENGRA fresh,,,,,,,,18,783
396,WHITE BAIT,,,,2.3,,,,,
397,BEEF meal,0,0.03,0.44,5.8,,,,0,
398,BEEF muscle (lean meat),18,0.15,0.04,6.4,,,,2,
399,BUFFALO MEAT,,,,,,4.6,7.8,,
401,"EGG, duck",405,0.12,0.26,0.2,,80.0,80.0,,
402,"EGG, hen",420,0.10,0.40,0.1,,70.3,78.3,0,
405,FOWL,,,0.14,,,3.2,6.8,,
406,GOAT MEAT,,,,,,0.5,4.5,,
408,LIVER GOAT,,,,,,61.2,176.2,,
409,LIVER SHEEP,6690,0.36,1.70,17.6,,65.5,188.0,20,
410,MUTTON,9,0.18,0.14,6.8,,1.0,5.8,,
412,PORK,0,0.54,0.09,2.8,,,,2,
418,MILK ass's,,0.06,0.03,0.1,,,,10,
419,MILK buffalo's,48,0.04,0.10,0.1,,3.3,5.6,1,
420,MILK cow's,53,0.05,0.19,0.1,,5.6,8.5,2,
421,MILK goat's,55,0.05,0.04,0.3,,0.7,1.3,1,
422,MILK human,41,0.02,0.02,,,1.3,,3,
423,CURDS (cow's milk),31,0.05,0.16,0.1,,3.3,12.5,1,
425,"SKIMMED MILK, liquid",,,,0.1,,,,1,
426,"CHANNA, cow's milk",110,0.07,0.02,,,,,3,
428,CHEESE,82,,,,,,,,
431,KHOA (whole cow's milk),149,0.23,0.41,0.4,,,,6,
432,SKIMMED MILK POWDER (cow's milk),0,0.45,1.64,1.0,,,,5,
433,WHOLE MILK POWDER (cow's milk),420,0.31,1.36,0.8,,,,4,
434,BUTTER,960,,,,,,,,
435,GHEE (cow),600,,,,,,,,
436,GHEE (buffalo),270,,,,,,,,
437,HYDROGENATED OIL (fortified),750,,,,,,,,
